,Landfall,Days,MaxWind,MinWind,AWind
1676,1.0,61.0,50.0,25.0,34.166666666666664
1677,0.0,13.0,60.0,30.0,49.34782608695652
1678,1.0,2.0,150.0,30.0,87.38095238095238
1679,1.0,16.0,50.0,20.0,27.142857142857142
1680,1.0,8.0,150.0,15.0,71.78571428571429
1681,1.0,4.0,50.0,30.0,38.0
1682,0.0,0.0,40.0,20.0,30.192307692307693
1683,1.0,9.0,80.0,20.0,44.09090909090909
1684,1.0,2.0,30.0,20.0,26.25
1685,0.0,2.0,35.0,30.0,33.75
1686,0.0,0.0,65.0,30.0,43.68421052631579
1687,1.0,3.0,70.0,20.0,39.285714285714285
1688,0.0,13.0,35.0,20.0,26.451612903225808
1689,0.0,13.0,45.0,25.0,30.576923076923077
1690,1.0,47.0,75.0,20.0,44.732142857142854
1691,1.0,173.0,50.0,25.0,34.0
1692,1.0,33.0,40.0,25.0,34.0
1693,0.0,16.0,110.0,30.0,62.2972972972973
1694,0.0,1.0,55.0,25.0,45.27777777777778
1695,1.0,14.0,85.0,20.0,46.29032258064516
1696,1.0,12.0,55.0,20.0,36.785714285714285
1697,1.0,10.0,60.0,15.0,39.0
1698,1.0,3.0,135.0,15.0,57.4
1699,1.0,4.0,75.0,30.0,49.08163265306123
1700,1.0,1.0,125.0,30.0,80.0
1701,0.0,23.0,55.0,20.0,34.54545454545455
1702,1.0,1.0,75.0,25.0,50.65217391304348
1703,0.0,10.0,70.0,35.0,50.14705882352941
1704,1.0,6.0,55.0,25.0,42.5
1705,0.0,1.0,35.0,20.0,29.285714285714285
1706,0.0,1.0,115.0,25.0,50.625
1707,1.0,22.0,25.0,25.0,25.0
1708,1.0,202.0,125.0,20.0,44.166666666666664
1709,0.0,76.0,30.0,25.0,26.333333333333332
1710,0.0,5.0,35.0,25.0,28.846153846153847
1711,1.0,1.0,115.0,30.0,76.08695652173913
1712,1.0,10.0,50.0,20.0,35.625
1713,0.0,6.0,50.0,35.0,41.666666666666664
1714,1.0,6.0,45.0,25.0,36.25
1715,0.0,18.0,105.0,25.0,43.333333333333336
1716,0.0,2.0,30.0,20.0,27.142857142857142
1717,0.0,9.0,55.0,30.0,41.21621621621622
1718,0.0,29.0,45.0,20.0,28.26086956521739
1719,1.0,232.0,90.0,25.0,52.096774193548384
1720,1.0,13.0,95.0,25.0,51.71875
1721,1.0,15.0,30.0,20.0,25.384615384615383
1722,1.0,11.0,40.0,15.0,29.72222222222222
